,Years with Operator,,,Years in Rank,,,Years on This Type of Tanker,,,Years on All Types of Tankers,,,Years as Watch officer/Engineer,,,Date Joined,,,English Proficiency
Hoegh LNG,,,,Combined aggregate for 3/E and 4/E shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 years ,,,,Combined aggregate for 3/E and 4/E shall not be less than 1.5 years. ,Third Engineer + Fourth Engineer,1.5 years ,,,,,,,
Idemitsu,,,,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,,,,,,,,,,
Idemitsu,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,
Ineos,Combined aggregate for Master and C/O shall not be less than 2 years (calendar).,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 5 years (sea time). ,Master + Chief Officer,5.0 years ,,,,,,,
Ineos,Combined aggregate for C/E and *2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and *2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,Combined aggregate for C/E and *2/E shall not be less than 5 years (sea time). ,Chief Engineer + Second Engineer,5.0 years ,,,,,,,
Koch,,,,Senior deck officers must have aggregate 3 years. ,Master + Chief Officer,3.0 years ,,,,,,,,,,,,,
Koch,,,,Senior engineering officers must have aggregate 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
Koch,,,,Combined aggregate for all deck and engineering officers shall not be less than 12 years. ,All Officers + All Engineers,12.0 years ,,,,,,,,,,,,,
KPI,Combined aggregate for Master and C/O must be 2 years with the company (calendar years). ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years in rank (sea-service).,Master + Chief Officer,3.0 years ,Master shall not be less than 2 years on this type of tanker (sea-service).,Master,2.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years experience on all types of tankers (sea-service). ,Master + Chief Officer,6.0 years ,,,,,,,
KPI,Combined aggregate for 2/O and 3/O must be 1 year with the company (calendar years). ,Second Officer + Third Officer,1.0 years ,"If the C/O has less than 1 year, the 2/O shall not be less than 1 year in rank (sea-service).",Second Officer,1.0 years ,C/O shall not be less than 2 years on this type of tanker (sea-service). ,Chief Officer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years experience on all types of tankers (sea-service). ,Chief Engineer + Second Engineer,6.0 years ,,,,,,,
KPI,Combined aggregate for C/E and 2/E shall not be less than 2 years in rank (sea-service). ,Chief Engineer + Second Engineer,2.0 years ,"If the C/O has less than 1 year, the 3/O shall not be less than 1 year in rank (sea-service). ",Third Officer,1.0 years ,Combined aggregate of 2/O and 3/O shall not be less than 2 years on this type of tanker (sea-service). ,Second Officer + Third Officer,2.0 years ,,,,,,,,,,
KPI,Combined aggregate for 3/E and 4/E must be 1 year with the company (calendar years). ,Third Engineer + Fourth Engineer,1.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years in rank (sea-service). ,Chief Engineer + Second Engineer,3.0 years ,C/E shall not be less than 2 years on this type of tanker (sea-service). ,Chief Engineer  ,2.0 years ,,,,,,,,,,
KPI,,,,Combined aggregate for 3/E and 4/E shall not be less than 1 year in rank (sea-service). ,Third Engineer + Fourth Engineer,1.0 years ,2/E shall not be less than 2 years on this type of tanker (sea-service). ,Second Engineer,2.0 years ,,,,,,,,,,
KPI,,,,,,,Combined aggregate of 3/E and 4/E shall not be less than 2 years on this type of tanker (sea-service). ,Third Engineer + Fourth Engineer,2.0 years ,,,,,,,,,,
LUKOIL,Combined aggregate for Master and C/O must be 2 years with the company (calendar years). ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O must be 3 years in rank (sea-service). ,Master + Chief Officer,3.0 years ,,,,Master must have a minimum 5 year experience on tankers (sea-service).,Master,5.0 years ,,,,,,,
LUKOIL,Combined aggregate for C/E and 1/E must be 2 years with the company (calendar years).,Chief Engineer + Second Engineer,2.0 years,Combined aggregate for C/E and 1/E must be 3 years in rank (sea-service). ,Chief Engineer + Second Engineer,3.0 years ,,,,C/O must have a minimum of 3 years on tankers (sea-service). ,Chief Officer,3.0 years ,,,,,,,
Lyondellbasell (<20k dwt),,,,Combined aggregate for Master and C/O shall not be less than 2 years seatime ,Master + Chief Officer,2.0 years ,,,,,,,,,,,,,
Lyondellbasell (<20k dwt),,,,Combined aggregate for all deck officers shall not be less than 8 years seatime. ,All Deck Officers,8.0 years,,,,,,,,,,,,,
Lyondellbasell (<20k dwt),,,,Combined aggregate for C/E and 2/E shall not be less than 2 years seatime. ,Chief Engineer + Second Engineer,2.0 years ,,,,,,,,,,,,,
Lyondellbasell (<20k dwt),,,,Combined aggregate for all engineers shall not be less than 4 years seatime. ,All Engineers,4.0 years ,,,,,,,,,,,,,
Lyondellbasell (>20k dwt),,,,Combined aggregate for 2/O and 3/O shall not be less than 2 years seatime. ,Second Officer + Third Officer,2.0 years ,,,,,,,,,,,,,
Lyondellbasell (>20k dwt),,,,Combined aggregate for all deck officers shall not be less than 8 years seatime. ,All Deck Officers,8.0 years ,,,,,,,,,,,,,
Lyondellbasell (>20k dwt),,,,Combined aggregate for C/E and 2/E shall not be less than 2 years seatime. ,Chief Engineer + Second Engineer,2.0 years ,,,,,,,,,,,,,
Lyondellbasell (>20k dwt),,,,Combined aggregate for all engineers shall not be less than 4 years seatime. ,All Engineers,4.0 years ,,,,,,,,,,,,,
Lyondellbasell (>20k dwt),,,,Combined aggregate for Master and C/O shall not be less than 2 years seatime ,Master + Chief Officer,2.0 years ,,,,,,,,,,,,,
Marathon,,,,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 5 years. ,Master + Chief Officer,5.0 years ,,,,,,,,,,
Marathon,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 5 years. ,Chief Engineer + Second Engineer,5.0 years ,,,,,,,,,,
MISC Maritime Services,Combined aggregate for Master and C/O shall not be less than 2 years with the company (calendar years). ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years in rank (sea-service). ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years (sea time). ,Master + Chief Officer,6.0 years ,,,,,,,,,,
MISC Maritime Services,Combined aggregate for C/E and 2/E shall not be less than 2 years with the company (calendar years). ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years in rank (sea-service). ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years (sea time). ,Chief Engineer + Second Engineer,6.0 years ,,,,,,,,,,
NCSP Group,Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years(sea time). ,Master + Chief Officer,3.0 years ,,,,Master shall not be less than 5 years(sea time). ,Master,5.0 years ,,,,,,,
NCSP Group,Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years(sea time). ,Chief Engineer + Second Engineer,3.0 years ,,,,C/O shall not be less than 3 years(sea time). ,Chief Officer,3.0 years ,,,,,,,
Neste,,,,"Master and C/O: at least 3 years combined on-board service in rank, OR see remarks.*",Master + Chief Officer,3.0 years ,,,,,,,,,,Maximum working period on board for senior officer’s is 6 month ,"Maximum working period on board for Master, Chief Officer, Chief Engineer, Second Engineer",6 months,
Neste,,,,"C/E and 2/E: at least 3 years combined on-board service in rank, OR see remarks.* ",Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
Nustar,,,,,,,Master should have a minimum 5 year experience this type of tanker (sea-service). ,Master,5.0 years ,,,,,,,,,,
Nustar,,,,,,,C/O should have a minimum 5 year experience this type of tanker (sea-service). ,Chief Officer,5.0 years ,,,,,,,,,,
Nustar,,,,,,,C/E should have a minimum 5 year experience this type of tanker (sea-service). ,Chief Engineer  ,5.0 years ,,,,,,,,,,
Nustar,,,,,,,2/E should have a minimum 5 year experience this type of tanker (sea-service). ,Second Engineer,5.0 years ,,,,,,,,,,
OMV,Combined aggregate for Captain and C/O shall not be less than 2 years (calendar). ,Master + Chief Officer,2.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 3 years (sea time). ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 4 years (sea time). ,Master + Chief Officer,4.0 years ,,,,,,,
OMV,Combined aggregate for C/E and 2/E shall not be less than 2 years (calendar). ,Chief Engineer + Second Engineer,2.0 years ,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years (sea time). ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 4 years (sea time). ,Chief Engineer + Second Engineer,4.0 years ,,,,,,,
OTEKO Terminal,Combined aggregate for Master and C/O shall not be less than 2 years with the company (calendar years). ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years in rank (sea-service).,Master + Chief Officer,3.0 years ,,,,Master must have a minimum 5 year experience on tankers (sea-service). ,Master,5.0 years ,,,,,,,
OTEKO Terminal,Combined aggregate for C/E and 1/E shall not be less than 2 years with the company (calendar years).,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 1/E shall not be less than 3 years in rank (sea-service). ,Chief Engineer + Second Engineer,3.0 years ,,,,C/O must have a minimum of 3 years on tankers (sea-service). ,Chief Officer,3.0 years ,,,,,,,
PETROBRAS,The aggregate time of Deck Senior Officers (Master and C/O) shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,The aggregate time of Deck Senior Officers (Master and C/O) shall not be less than 3 years.,Master + Chief Officer,3.0 years ,,,,"Master must have a minimum 4 years on tanker vessels. (See note below) 
",Master,4.0 years ,,,,,,,
PETROBRAS,The aggregate time of Machinery Senior Officers (C/E and 2/E) shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,The aggregate time of Machinery Senior Officers (C/E and 2/E) shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,C/O must have a minimum 4 years on tanker vessels. (See note below) ,Chief Officer,4.0 years ,,,,,,,
PETROBRAS,,,,,,,,,,The aggregate time of Machinery Senior Officers (C/E and 2/E) shall not be less than 5 years. ,Chief Engineer + Second Engineer,5.0 years ,,,,,,,
Petroplus,,,,A minimum combined sea service of 3 years in rank for the two senior deck officers (Master and C/O).,Master + Chief Officer,3.0 years ,,,,,,,,,,,,,
Petroplus,,,,A minimum combined sea service of 3 years in rank for the two senior engineering officers (C/E and 2/E). ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
Phillips 66,Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 calendar years. ,Master + Chief Officer,3.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 6 years (sea service). ,Master + Chief Officer,6.0 years ,,,,,,,
Phillips 66,,,,Combined aggregate for C/E and 2/E shall not be less than 3 calendar years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
PMI,Combined aggregate for Master and C/O shall not be less than 2 years.,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 5 years. ,Master + Chief Officer,5.0 years ,,,,,,,,,,All Deck Officers = Good
PMI,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 5 years. ,Chief Engineer + Second Engineer,5.0 years ,,,,,,,,,,All Engineering Officers = Good 
Preem,,,,The combined in-rank experience of the Master and Chief Officer must be at least 3 years onboard service. ,Master + Chief Officer,3.0 years ,,,,,,,,,,,,,All Deck Officers + All Engineer Officers = Good
Preem,,,,The combined in-rank experience of the C/E and 2/E must be at least 3 years onboard service ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
Primorsk Oil Terminal,Combined aggregate for Master and C/O must be 2 years with the company (calendar years). ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O must be 3 years in rank (sea-service). ,Master + Chief Officer,3.0 years ,,,,Master must have a minimum 5 year experience on tankers (sea-service).,Master,5.0 years ,,,,,,,
Primorsk Oil Terminal,Combined aggregate for C/E and 1/E must be 2 years with the company (calendar years).,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 1/E must be 3 years in rank (sea-service). ,Chief Engineer + Second Engineer,3.0 years ,,,,C/O must have a minimum of 3 years on tankers (sea-service). ,Chief Officer,3.0 years ,,,,,,,
PTT Marine,Combined aggregate for Master and C/O shall not be less than 1 years. ,Master + Chief Officer,1.0 years ,Combined aggregate for Master and C/O shall not be less than 2 years.,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,,,,,,,,,,
PTT Marine,Combined aggregate for C/E and 2/E shall not be less than 1 years. ,Chief Engineer + Second Engineer,1.0 years ,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,
Qatar Gas,Combined aggregate for Master and C/O shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years.,Master + Chief Officer,6.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1.5 years.,Second Officer + Third Officer,1.5 years ,,,,,,,
Qatar Gas,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,Master shall not be less than 0.5 years. ,Master,0.5 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years. ,Chief Engineer + Second Engineer,6.0 years ,Combined aggregate for 3/E and 4/E shall not be less than 1.5 years. ,Third Engineer + Fourth Engineer,1.5 years ,,,,,,,
Qatar Gas,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,C/O shall not be less than 0.5 years. ,Chief Officer,0.5 years ,The Gas/Cargo Engineer must have at least 1 year. ,Gas Engineer,1.0 years ,,,,,,,,,,
Qatar Gas,Combined aggregate for 3/E and 4/E shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,
Qatar Gas,The Gas/Cargo Engineer must have at least 0.5 calendar year with their company. ,Gas Engineer,0.5 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
Qatar Gas,,,,C/E shall not be less than 0.5 years. ,Chief Engineer,0.5 years ,,,,,,,,,,,,,
Qatar Gas,,,,2/E shall not be less than 0.5 years. ,Second Engineer,0.5 years ,,,,,,,,,,,,,
Qatar Gas,,,,Combined aggregate for 3/E and 4/E shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,,,,,,,
Qatar Gas,,,,The Gas/Cargo Engineer must have at least 1 year. ,Gas Engineer,1.0 years ,,,,,,,,,,,,,
Qatar Petroleum,Combined aggregate for Master and C/O shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,Master must have a minimum 1 year experience in rank. ,Master,1.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years. ,Master + Chief Officer,6.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1.5 years. ,Second Officer + Third Officer,1.5 years ,,,,,,,
Qatar Petroleum,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,C/O must have a minimum 2 years experience in rank. ,Chief Officer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years. ,Chief Engineer + Second Engineer,6.0 years ,Combined aggregate for all 3/E and 4/E shall not be less than 1.5 years. ,Third Engineer + Fourth Engineer,1.5 years ,,,,,,,
Qatar Petroleum,Combined aggregate for 2/O and 3/O shall not be less than 2 years. ,Second Officer + Third Officer,2.0 years ,C/E must have a minimum 1 year experience in rank. ,Chief Engineer,1.0 years ,,,,,,,,,,,,,
Qatar Petroleum,Combined aggregate for all 3/E and 4/E shall not be less than 1 years. ,Third Engineer + Fourth Engineer,1.0 years ,2/E must have a minimum of 2 year experience in rank. ,Second Engineer,2.0 years ,,,,,,,,,,,,,
Qatar Petroleum,,,,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,,,,,,,,,,,,,
Qatar Petroleum,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
Qatar Petroleum,,,,Combined aggregate for 2/O and 3/O shall not be less than 1 years. ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,
Qatar Petroleum,,,,Combined aggregate for all 3/E and 4/E shall not be less than 1 years. ,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,,,,,,,
Reliance,Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years(sea time). ,Master + Chief Officer,3.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 6 years (sea time). ,Master + Chief Officer,6.0 years ,,,,A minimum of 14 days shall lapse between replacement of the Master and C/O ,Master Joining Date - Chief Officer Joining Date,Minimum 14.0 days ,
Reliance,Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years(sea time). ,Chief Engineer + Second Engineer,3.0 years ,,,,Combined aggregate for C/E and 2/E shall not be less than 6 years (sea time). ,Chief Engineer + Second Engineer,6.0 years ,,,,A minimum of 14 days shall lapse between replacement of C/E and 2/E ,Chief Engineer Joining Date - Second Engineer Joining Date,Minimum 14.0 days ,
Reliance,Combined aggregate for 2/O and 3/O shall not be less than 1 years. ,,1.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1 years. ,,1.0 years ,,,,Combined aggregate for 2/O and 3/O shall not be less than 1 years (sea time). ,Second Officer + Third Officer,1.0 years ,,,,,,,
Reliance,Combined aggregate for all 3/E and 4/E shall not be less than 1 years. ,,1.0 years ,Combined aggregate for all 3/E and 4/E shall not be less than 1 years. ,,1.0 years ,,,,Combined aggregate for all 3/E and 4/E shall not be less than 1 years (sea time) ,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,
Repsol (Spot/COA),Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years(sea time). ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years(sea time). ,Master + Chief Officer,6.0 years ,,,,,,,,,,
Repsol (Spot/COA),Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years(sea time). ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years(sea time). ,Chief Engineer + Second Engineer,6.0 years ,,,,,,,,,,
Repsol (Spot/COA),,,,Combined aggregate for 2/O and 3/O shall not be less than 1 year(sea time). ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,
Repsol (T/C),Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years(sea time). ,Master + Chief Officer,3.0 years ,Master shall not be less than 3 years(sea time). ,Master,3.0 years ,,,,,,,,,,
Repsol (T/C),Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years(sea time). ,Chief Engineer + Second Engineer,3.0 years ,C/O shall not be less than 2 years(sea time). ,Chief Officer,2.0 years ,,,,,,,,,,
Repsol (T/C),,,,Combined aggregate for 2/O and 3/O shall not be less than 1 year(sea time). ,Second Officer + Third Officer,1.0 years ,C/E shall not be less than 3 years(sea time). ,Chief Engineer  ,3.0 years ,,,,,,,,,,
Repsol (T/C),,,,,,,2/E shall not be less than 2 years(sea time). ,Second Engineer,2.0 years ,,,,,,,,,,
Rightship,Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years(sea time). ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years(sea time). ,Master + Chief Officer,6.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1.5 years(sea time). ,Second Officer + Third Officer,1.5 years ,,,,,,,
Rightship,Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years(sea time). ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years(sea time). ,Chief Engineer + Second Engineer,6.0 years ,"Aggregate for 3/E and 4/E or other Junior Engineers, including electrical, shall not be less than 1.5 years(sea time). ",Third Engineer + Fourth Engineer,1.5 years ,,,,,,,
Rightship,,,,Combined aggregate for 2/O and 3/O shall not be less than 1 year(sea time). ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,
Rightship,,,,"Aggregate for 3/E and 4/E or other Junior Engineers, including electrical, shall not be less than 1 year(sea time). ",Third Engineer + Fourth Engineer,1.0 years ,,,,,,,,,,,,,
SABIC,,,,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Master must have a minimum 2 years experience. ,Master,2.0 years ,,,,,,,,,,
SABIC,,,,,,,C/O must have a minimum 1 year experience. ,Chief Officer,1.0 years ,,,,,,,,,,
SABIC,,,,,,,Combined aggregate for Master and C/O must have a minimum 5 years experience. ,Master + Chief Officer,5.0 years ,,,,,,,,,,
SABIC,,,,,,,C/E must have a minimum 1 year experience (sea-service). ,Chief Engineer  ,1.0 years ,,,,,,,,,,
SARAS,Combined aggregate for Master and C/O shall not be less than 2 calendar years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years(sea time). ,Master + Chief Officer,3.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 4 years(sea time). ,Master + Chief Officer,4.0 years ,,,,,,,
SARAS,Combined aggregate for C/E and 2/E shall not be less than 2 calendar years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years(sea time). ,Chief Engineer + Second Engineer,3.0 years ,,,,Combined aggregate for C/E and 2/E shall not be less than 4 years(sea time). ,Chief Engineer + Second Engineer,4.0 years ,,,,,,,
SHELL,Combined aggregate for Master and C/O shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,,,,,,,,,,,,,,,,
SHELL,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,,,,,,,,,,,,,,,,
SHELL,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,,,,,,,,,,,,,,,,
SHELL,Combined aggregate for Junior Engineers shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 years ,,,,,,,,,,,,,,,,
SHIPVET Services Ltd,,,,Combined aggregate for Master and C/O shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,Master must have a minimum of 2 years on this type of tanker. ,Master,2.0 years ,,,,,,,,,,Deck Officers = Good
SHIPVET Services Ltd,,,,,,,C/O must have a minimum of 1 years on this type of tanker. ,Chief Officer,1.0 years ,,,,,,,,,,
SHIPVET Services Ltd,,,,,,,Combined aggregate for Master and C/O shall not be less than 5 years. ,Master + Chief Officer,5.0 years ,,,,,,,,,,
SHIPVET Services Ltd,,,,,,,C/E must have a minimum of 1 years on this type of tanker. ,Chief Engineer  ,1.0 years ,,,,,,,,,,
SIGGTO LPG,,,,,,,,,,,,,,,,,,,
SIGTTO LNG and LPG,,,,,,,,,,,,,,,,,,,
Sonangol,,,,Combined aggregate for Master and C/O shall not be less than 5 years(sea time). ,Master + Chief Officer,5.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 12 years(sea time). ,Master + Chief Officer,12.0 years ,,,,,,,All Officers = Good
Sonangol,,,,Combined aggregate for C/E and 2/E shall not be less than 5 years(sea time). ,Chief Engineer + Second Engineer,5.0 years ,,,,Combined aggregate for C/E and 2/E shall not be less than 12 years(sea time). ,Chief Engineer + Second Engineer,12.0 years ,,,,,,,
Tesoro,Combined aggregate for Master and C/O shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 2.5 years. ,Master + Chief Officer,2.5 years ,,,,Shall not be less than 2.5 years for Master. ,Master,2.5 years ,,,,,,,
Tesoro,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 2.5 years. ,Chief Engineer + Second Engineer,2.5 years ,,,,Shall not be less than 2.5 years for C/E. ,Chief Engineer,2.5 years ,,,,,,,
Tesoro,,,,,,,,,,Shall not be less than 2.5 years for C/O. ,Chief Officer,2.5 years ,,,,,,,
Tesoro,,,,,,,,,,Shall not be less than 2.5 years for 2/E. ,Second Engineer,2.5 years ,,,,,,,
The Company (Internal),Combined aggregate for Master and C/O shall not be less than 2 years ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years ,Master + Chief Officer,6.0 years ,,,,,,,A minimum of 14 days shall laps between replacement of Master and C/O ,Master Joining Date - Chief Officer Joining Date,Minimum 14.0 days ,
The Company (Internal),Combined aggregate for C/E and 2/E shall not be less than 2 years ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and 2/E shall not be less than 3 years ,Chief Engineer + Second Engineer,3.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years (sea time). ,Chief Engineer + Second Engineer,6.0 years ,,,,,,,A minimum of 14 days shall laps between replacement of C/E and 2/E ,Chief Engineer Joining Date - Second Engineer Joining Date,Minimum 14.0 days ,
The Company (Internal),Combined aggregate for 2/O and 3/O shall not be less than 1 year ,Second Officer + Third Officer,1.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1 year (sea time). ,Second Officer + Third Officer,1.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1 year ,Second Officer + Third Officer,1.0 years ,,,,,,,A minimum of 14 days shall laps between replacement of 2/O and 3/O ,Second Officer Joining Date - Third Officer Joining Date,Minimum 14.0 days ,
